Country Code,Year,Size,Value,Unit,Main Activity Sector Name,Main Activity Code,Country,ETS information,Active Installation,Entities
SK,2010.0,All sizes,67735.0,units,25 Production or processing of ferrous metals,25,Slovakia,1.1 Freely allocated allowances,all entities,4.0
SK,2010.0,All sizes,8505356.0,units,24  Production of pig iron or steel,24,Slovakia,4. Total surrendered units,all entities,3.0
SK,2011.0,All sizes,8560910.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2. Verified emissions,all entities,3.0
SK,2011.0,All sizes,8560910.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2.1 EU-ETS Verified Emission,all entities,3.0
SE,2006.0,All sizes,438780.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
SE,2006.0,All sizes,7240420.0,units,24  Production of pig iron or steel,24,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,15.0
SE,2007.0,All sizes,4159586.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Sweden,2.1 EU-ETS Verified Emission,all entities,15.0
SE,2008.0,All sizes,67943.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1 Freely allocated allowances,all entities,4.0
RO,,All sizes,3386081.0,units,25 Production or processing of ferrous metals,25,Romania,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,
RO,,All sizes,2436618.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,Romania,2. Verified emissions,all entities,
RO,,All sizes,33270391.0,units,24  Production of pig iron or steel,24,Romania,4. Total surrendered units,all entities,
RO,,All sizes,38383587.0,units,24  Production of pig iron or steel,24,Romania,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,
RO,,All sizes,70938.0,units,28 Production or processing of non-ferrous metals,28,Romania,1. Total allocated allowances (EUA or EUAA),all entities,
SI,2007.0,All sizes,7616.0,units,25 Production or processing of ferrous metals,25,Slovenia,4. Total surrendered units,all entities,1.0
SI,2007.0,All sizes,160110.0,units,24  Production of pig iron or steel,24,Slovenia,1.1 Freely allocated allowances,all entities,3.0
SI,2007.0,All sizes,273159.0,units,24  Production of pig iron or steel,24,Slovenia,4. Total surrendered units,all entities,3.0
SI,2008.0,All sizes,3204.0,units,25 Production or processing of ferrous metals,25,Slovenia,1. Total allocated allowances (EUA or EUAA),all entities,1.0
